"Año";"Periodo";"IPC"
"2015";"Noviembre";"-0,27"
"2015";"Diciembre";"0,02"
"2016";"Enero";"-0,29"
"2016";"Febrero";"-0,84"
"2016";"Marzo";"-0,84"
"2016";"Abril";"-1,05"
"2016";"Mayo";"-0,99"
"2016";"Junio";"-0,8"
"2016";"Julio";"-0,59"
"2016";"Agosto";"-0,13"
"2016";"Septiembre";"0,18"
"2016";"Octubre";"0,68"
"2016";"Noviembre";"0,67"
"2016";"Diciembre";"1,57"
"2017";"Enero";"2,97"
"2017";"Febrero";"2,97"
"2017";"Marzo";"2,29"
"2017";"Abril";"2,55"
"2017";"Mayo";"1,94"
"2017";"Junio";"1,51"
"2017";"Julio";"1,55"
"2017";"Agosto";"1,62"
"2017";"Septiembre";"1,79"
"2017";"Octubre";"1,57"
"2017";"Noviembre";"1,67"
"2017";"Diciembre";"1,11"
"2018";"Enero";"0,57"
"2018";"Febrero";"1,07"
"2018";"Marzo";"1,21"
"2018";"Abril";"1,08"
"2018";"Mayo";"2,05"
"2018";"Junio";"2,27"
"2018";"Julio";"2,25"
"2018";"Agosto";"2,19"
"2018";"Septiembre";"2,26"
"2018";"Octubre";"2,26"
"2018";"Noviembre";"1,69"
"2018";"Diciembre";"1,18"
"2019";"Enero";"0,98"
"2019";"Febrero";"1,09"
"2019";"Marzo";"1,34"
"2019";"Abril";"1,52"
"2019";"Mayo";"0,81"
"2019";"Junio";"0,43"
"2019";"Julio";"0,53"
"2019";"Agosto";"0,33"
"2019";"Septiembre";"0,08"
"2019";"Octubre";"0,1"
;;
;;
"Métrica":"IPC"
"Fuente":"INE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/ipc-desploma-seis-decimas-noviembre-17/6de4620e-10c3-4fd8-b6d0-e235d4a427d9"
"Titulo":"Evolución del Índice de Precios de Consumo (IPC)"
"Subtitulo":"Variación interanual del IPC (adelantado)"
